token_age_b,transfers,transactions,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_mutable_metadata,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,sns_held_all,sns_sold_some,sns_sold_all,PNL,profit,sns_most_common,sns_most_common_except_0,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
5.36,0.0,92.0,50.0,22.0,70.0,22.0,4451.18,5590.61,-5.51,162.0,162.0,162.0,4973.31,4830.0,0,0,0,0,0,0,0,0,0,0,46,8,10,83.31,1,2.35,2.35,3516.3399999999992,2251.13,3516.3399999999997,2251.1299999999997,0,46,0,46,3,3
12.01,0.0,315.0,204.0,7.0,298.0,17.0,12661.51,392948.32,6.34,54822857.0,54822857.0,54822857.0,783597.41,6477410275.0,0,0,1,0,10,0,0,0,0,0,88,0,12,88.98,1,0.1,0.1,308.3699999999998,533.23,380659.5999999996,226.23,4,88,10,83,2,2
33.01,0.0,395.0,0.0,1.0,224.0,171.0,1.55,66815.66,-2.19,-94.25,-94.25,-94.25,8511.28,4642.0,0,0,0,0,0,0,0,0,0,0,16,2,82,-2.82,0,23.0,23.0,14982.030000000004,35874.94,8063.459999999998,11204.600000000002,10,16,20,15,64,42
30.57,0.0,3342.0,92.0,58.0,1910.0,1432.0,72091.0,1500722.96,30.95,14879.0,14879.0,14879.0,42343.96,17169657.0,1,0,0,0,0,0,0,0,0,0,52,23,25,-100.0,0,0.1,0.1,53914.51999999998,712279.6499999999,161928.22,218303.75,3,52,3,22,23,5
25.26,0.0,837.0,4.0,5.0,350.0,487.0,294.34,83310.96,3.93,-94.24,-94.24,-94.24,9697.66,5990.0,0,0,0,0,0,0,0,0,0,0,9,3,88,-20.12,0,0.0,23.0,47.0,30705.0,13207.269999999999,16302.499999999998,45,9,99,0,44,0
22.05,0.0,218.0,32.0,5.0,139.0,79.0,1487.25,16433.82,4.67,26.4,26.4,26.4,42004.48,114247.0,0,1,1,1,0,7,0,0,0,0,34,11,55,-20.44,0,23.0,23.0,5038.770000000002,6467.170000000001,7967.74,6474.169999999999,13,34,13,33,16,13
45.66,0.0,285.0,21.0,6.0,188.0,97.0,1389.59,18239.76,18.98,981.0,981.0,981.0,9474.9,17574.0,0,1,1,0,0,39,0,0,185,0,45,18,37,71.54,1,2.36,2.36,3686.4500000000007,6117.620000000001,7086.370000000001,5660.13,1,45,4,39,16,16
15.21,0.0,1137.0,143.0,98.0,673.0,464.0,36762.06,226937.0,-48.17,-58.14,-58.14,-58.14,24786.22,38517.0,0,0,1,1,0,0,5,19,757,1,13,14,73,-21.14,0,0.0,11.0,28947.0,61771.0,31681.8,41197.6,32,13,48,0,39,0
32.15,0.0,418.0,37.0,44.0,274.0,144.0,7106.2,62276.68,-21.04,77.77,77.77,77.77,52969.98,180806.0,0,0,1,0,0,0,0,0,3460,18,27,12,61,-0.11,0,23.0,23.0,14167.650000000001,19385.899999999994,16449.340000000004,15701.590000000002,13,27,15,2,15,0
36.22,0.0,8256.0,3578.0,2699.0,4842.0,3414.0,366506.27,638917.37,16.44,51.42,51.42,51.42,49904.41,150665.0,0,1,1,1,0,2,0,0,8,0,25,15,60,-30.74,0,23.0,23.0,18901.93,28882.3,18397.59,23858.800000000003,5,25,1,0,26,0
20.06,0.0,5135.0,47.0,374.0,2611.0,2524.0,26894.94,946583.09,-94.42,-94.29,-94.29,-94.29,9974.33,5812.0,0,0,1,0,0,0,0,0,525,0,14,42,44,5.63,0,23.0,23.0,209153.0,229225.0,73403.17000000001,78477.68,5,14,25,0,35,0
27.55,0.0,1587.0,183.0,47.0,1326.0,261.0,66199.72,770261.94,-0.01,3122230.0,3122230.0,3122230.0,835914.88,7366436580.0,0,0,1,1,10,0,0,0,0,0,54,32,14,60.06,1,0.1,0.1,47709.61999999998,108544.81999999999,455471.8499999992,64000.37,4,54,5,22,20,1
28.25,0.0,19978.0,4327.0,108.0,19206.0,772.0,135445.05,774734.57,2.37,3.21,3.21,3.21,41975.05,104972.0,0,1,1,0,500,485,0,0,886,3,26,9,65,-51.4,0,0.0,23.0,30612.680000000004,47478.75999999999,13949.030000000002,28850.58,13,26,14,0,44,0
3.78,0.0,48.0,38.0,10.0,38.0,10.0,3987.7,3987.7,94.36,94.36,94.36,94.36,10542.15,8012.0,0,0,0,0,0,0,0,0,0,0,29,7,5,77.55,1,2.36,2.36,3996.4299999999985,1874.56,3996.43,1537.56,0,29,0,28,2,2
